Title,Company,Location,Link,ListedAt,ScrapedAt
Data Engineer III,McDonald's,"Chicago, IL",https://www.linkedin.com/jobs/view/data-engineer-iii-at-mcdonald-s-4368255940,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer (L5) - Messaging,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-messaging-at-netflix-4356575471,2026-01-29,2026-02-06T09:50:04.153Z
Data Engineer,McAfee,"Frisco, TX",https://www.linkedin.com/jobs/view/data-engineer-at-mcafee-4357901084,2026-02-03,2026-02-06T09:50:04.153Z
Data Visualization Engineer 4 - Ads,Netflix,United States,https://www.linkedin.com/jobs/view/data-visualization-engineer-4-ads-at-netflix-4350176102,2026-01-31,2026-02-06T09:50:04.153Z
"Data Engineer- Data Science Intern, Master's - Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",https://www.linkedin.com/jobs/view/data-engineer-data-science-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361501501,2026-02-04,2026-02-06T09:50:04.153Z
Data Engineer (L5) - Research Data Products,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-research-data-products-at-netflix-4355975387,2026-01-27,2026-02-06T09:50:04.153Z
"Data Engineer, Consumer L/S Equities - New York",Balyasny Asset Management L.P.,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-consumer-l-s-equities-new-york-at-balyasny-asset-management-l-p-4368507136,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,City of New York,"Manhattan, NY",https://www.linkedin.com/jobs/view/data-engineer-at-city-of-new-york-4357409189,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer Co-Op,Bose Corporation,"Framingham, MA",https://www.linkedin.com/jobs/view/data-engineer-co-op-at-bose-corporation-4357591129,2026-02-02,2026-02-06T09:50:04.153Z
Data Engineer,MasterClass,United States,https://www.linkedin.com/jobs/view/data-engineer-at-masterclass-4367641536,2026-01-30,2026-02-06T09:50:04.153Z
"Data Engineer, Finance",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-finance-at-notion-4344448909,2026-01-29,2026-02-06T09:50:04.153Z
Data Engineer,Lazard,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-lazard-4350839863,2026-01-22,2026-02-06T09:50:04.153Z
Data Engineer - Associate,Morgan Stanley,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-associate-at-morgan-stanley-4368949258,2026-02-05,2026-02-06T09:50:04.153Z
Data Engineer,eNcloud Services LLC,"Katy, TX",https://www.linkedin.com/jobs/view/data-engineer-at-encloud-services-llc-4367504270,2026-01-30,2026-02-06T09:50:04.153Z
Data Engineer,Apple,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-engineer-at-apple-4366046392,2026-01-27,2026-02-06T09:50:04.153Z
"Data Center Asset Management Engineer (Hillsboro, OR)",LinkedIn,"Hillsboro, OR",https://www.linkedin.com/jobs/view/data-center-asset-management-engineer-hillsboro-or-at-linkedin-4368699697,2026-02-03,2026-02-06T09:50:04.153Z
Senior Data Engineer,DTE Energy,"Detroit, MI",https://www.linkedin.com/jobs/view/senior-data-engineer-at-dte-energy-4368262876,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Lawrence Harvey,"Long Beach, CA",https://www.linkedin.com/jobs/view/data-engineer-at-lawrence-harvey-4368224960,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Wipro,"Charlotte, NC",https://www.linkedin.com/jobs/view/data-engineer-at-wipro-4368500294,2026-02-03,2026-02-06T09:50:04.153Z
"Data Engineer-Azure Databricks, SQL, Python",INSPYR Solutions,"Sunrise, FL",https://www.linkedin.com/jobs/view/data-engineer-azure-databricks-sql-python-at-inspyr-solutions-4368683680,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Brex,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-brex-4359462015,2026-02-04,2026-02-06T09:50:04.153Z
Data Engineer- (AWS/PySpark/ETL),hackajob,"Columbus, OH",https://www.linkedin.com/jobs/view/data-engineer-aws-pyspark-etl-at-hackajob-4368090889,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Heartland Food Products Group,"Carmel, IN",https://www.linkedin.com/jobs/view/data-engineer-at-heartland-food-products-group-4357800931,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer Graduate (Data Platfrom TikTok BP) - 2026 Start (BS/MS),TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/data-engineer-graduate-data-platfrom-tiktok-bp-2026-start-bs-ms-at-tiktok-4279798284,2026-01-18,2026-02-06T09:50:04.153Z
Data Engineer,The Value Maximizer,"New Jersey, United States",https://www.linkedin.com/jobs/view/data-engineer-at-the-value-maximizer-4367648439,2026-01-30,2026-02-06T09:50:04.153Z
Data Engineer,Stellantis,"Auburn Hills, MI",https://www.linkedin.com/jobs/view/data-engineer-at-stellantis-4368496282,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Slalom,"New York, United States",https://www.linkedin.com/jobs/view/data-engineer-at-slalom-4354963956,2026-02-05,2026-02-06T09:50:04.153Z
"Data Engineer, Analytics",OpenAI,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-analytics-at-openai-4313819229,2026-02-02,2026-02-06T09:50:04.153Z
Data Engineer Intern,Ibotta,"Denver, CO",https://www.linkedin.com/jobs/view/data-engineer-intern-at-ibotta-4305768884,2026-02-03,2026-02-06T09:50:04.153Z
Software Engineer - Data Classification,Booking.com,"Washington, DC",https://www.linkedin.com/jobs/view/software-engineer-data-classification-at-booking-com-4368679926,2026-02-03,2026-02-06T09:50:04.153Z
"Software Engineer, Entry Level (New Grad)",Emonics LLC,"Atlanta, GA",https://www.linkedin.com/jobs/view/software-engineer-entry-level-new-grad-at-emonics-llc-4368226730,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,Saragossa,United States,https://www.linkedin.com/jobs/view/data-engineer-at-saragossa-4357509795,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer Graduate (Data Platform - Global Live) - 2026 Start (MS),TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/data-engineer-graduate-data-platform-global-live-2026-start-ms-at-tiktok-4281119519,2026-01-18,2026-02-06T09:50:04.153Z
Senior Data Engineer,StockX,"Detroit, MI",https://www.linkedin.com/jobs/view/senior-data-engineer-at-stockx-4368286695,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer,VieCure,Denver Metropolitan Area,https://www.linkedin.com/jobs/view/data-engineer-at-viecure-4368670481,2026-02-03,2026-02-06T09:50:04.153Z
Data Engineer Intern,Zoox,"Foster City, CA",https://www.linkedin.com/jobs/view/data-engineer-intern-at-zoox-4335080770,2026-02-01,2026-02-06T09:50:04.153Z
Data Engineer (Special Projects),Major League Baseball (MLB),"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-special-projects-at-major-league-baseball-mlb-4354155682,2026-01-21,2026-02-06T09:50:04.153Z
"Software Engineer III, AI/ML Recommendations, Rankings, Predictions, YouTube",Google,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-iii-ai-ml-recommendations-rankings-predictions-youtube-at-google-4368218563,2026-02-03,2026-02-06T09:50:04.153Z
"Data Engineer, Product Analytics",Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-product-analytics-at-meta-4353048419,2026-02-05,2026-02-06T09:50:04.153Z
Data Engineer,thyssenkrupp,United States,https://www.linkedin.com/jobs/view/data-engineer-at-thyssenkrupp-4357485080,2026-02-02,2026-02-06T09:50:04.153Z
