Title,Company,Location,Link,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
Data Engineer (L5),Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-at-netflix-4350364210,2026-01-31,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer (L5) - Messaging,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-messaging-at-netflix-4356575471,2026-01-29,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer (L5) - Ads,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-ads-at-netflix-4352412152,2026-01-31,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Visualization Engineer 4 - Ads,Netflix,United States,https://www.linkedin.com/jobs/view/data-visualization-engineer-4-ads-at-netflix-4350176102,2026-01-31,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer (L4) - Revenue Growth,Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-engineer-l4-revenue-growth-at-netflix-4352596299,2026-02-03,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer (L5) - Research Data Products,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-research-data-products-at-netflix-4355975387,2026-01-27,2026-02-10T09:17:26.878Z,mid/unspecified,false
"Data Engineer- Data Science Intern, Master's - Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",https://www.linkedin.com/jobs/view/data-engineer-data-science-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361501501,2026-02-04,2026-02-10T09:17:26.878Z,entry/intern,true
Data Engineer - Associate,Morgan Stanley,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-associate-at-morgan-stanley-4368949258,2026-02-05,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer I/II (Remote - US),BNSF Railway,United States,https://www.linkedin.com/jobs/view/data-engineer-i-ii-remote-us-at-bnsf-railway-4321099635,2026-02-06,2026-02-10T09:17:26.878Z,mid/unspecified,false
"Data Engineer, Finance",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-finance-at-notion-4344448909,2026-01-29,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,The Hershey Company,"Dallas, TX",https://www.linkedin.com/jobs/view/data-engineer-at-the-hershey-company-4367564718,2026-01-31,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,Apple,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-engineer-at-apple-4366046392,2026-01-27,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer III,McDonald's,"Chicago, IL",https://www.linkedin.com/jobs/view/data-engineer-iii-at-mcdonald-s-4368255940,2026-02-03,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer Co-Op,Bose Corporation,"Framingham, MA",https://www.linkedin.com/jobs/view/data-engineer-co-op-at-bose-corporation-4357591129,2026-02-02,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,Slalom,"California, United States",https://www.linkedin.com/jobs/view/data-engineer-at-slalom-4369157723,2026-02-05,2026-02-10T09:17:26.878Z,mid/unspecified,false
Software Engineer (New Grads),Giga,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grads-at-giga-4370317193,2026-02-08,2026-02-10T09:17:26.878Z,mid/unspecified,false
Associate Data Engineer,The Value Maximizer,"New York, NY",https://www.linkedin.com/jobs/view/associate-data-engineer-at-the-value-maximizer-4370873562,2026-02-09,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,MasterClass,United States,https://www.linkedin.com/jobs/view/data-engineer-at-masterclass-4367641536,2026-02-09,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer Intern,Ibotta,"Denver, CO",https://www.linkedin.com/jobs/view/data-engineer-intern-at-ibotta-4305768884,2026-02-03,2026-02-10T09:17:26.878Z,entry/intern,true
Data Engineer,Cisco,"Milpitas, CA",https://www.linkedin.com/jobs/view/data-engineer-at-cisco-4359207879,2026-02-07,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,City of New York,"Manhattan, NY",https://www.linkedin.com/jobs/view/data-engineer-at-city-of-new-york-4357409189,2026-02-03,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer,Brex,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-brex-4359462015,2026-02-04,2026-02-10T09:17:26.878Z,mid/unspecified,false
"Data Engineer, Analytics",OpenAI,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-analytics-at-openai-4313819229,2026-02-02,2026-02-10T09:17:26.878Z,mid/unspecified,false
Data Engineer Graduate (Data Platfrom TikTok BP) - 2026 Start (BS/MS),TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/data-engineer-graduate-data-platfrom-tiktok-bp-2026-start-bs-ms-at-tiktok-4279798284,2026-02-09,2026-02-10T09:17:26.878Z,entry/intern,true
Data Engineer,Hasbro,"Renton, WA",https://www.linkedin.com/jobs/view/data-engineer-at-hasbro-4342523546,2026-02-07,2026-02-10T09:17:26.878Z,mid/unspecified,false
"Data Engineer, Intern (Early Career)",S&P Global,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-intern-early-career-at-s-p-global-4369813951,2026-02-06,2026-02-10T09:17:26.878Z,entry/intern,true
