Title,Company,Location,Link,TechStack,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
Data Enginer,Talkdesk,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-enginer-at-talkdesk-4364271044,"java, spark, hive, delta lake, iceberg, hudi, kafka, flink, aws, azure, lambda, docker, kubernetes",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Python Data Engineer,McAfee,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-data-engineer-at-mcafee-4362281654,"python, spark, kafka, snowflake, bigquery, postgresql, mongodb, redis",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer with Python+PySpark,LTIMindtree,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-with-python%2Bpyspark-at-ltimindtree-4361832992,"python, sql, spark, pyspark",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer I/II,IDinsight,"Delhi, India",https://in.linkedin.com/jobs/view/data-engineer-i-ii-at-idinsight-4361193544,"python, sql, aws, docker",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Frontend Developer (SDE-1),LimeChat,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/frontend-developer-sde-1-at-limechat-4370520688,"javascript, typescript, ci/cd",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst - Trainee,Amura Marketing Technologies,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-trainee-at-amura-marketing-technologies-4370594748,sql,2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
"Software Engineer, YouTube",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-youtube-at-google-4370468945,"python, java, javascript",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Jr Data Engineer,Pacific Data Integrators,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/jr-data-engineer-at-pacific-data-integrators-4370555097,sql,2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analytics Engineer,AIIR Intelligent HVAC,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-engineer-at-aiir-intelligent-hvac-4370804775,"python, sql, spark, databricks, airflow, dagster, dbt, kafka, flink, snowflake, bigquery, redshift, synapse, azure",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,iConsultera,India,https://in.linkedin.com/jobs/view/data-analyst-at-iconsultera-4370462692,"sql, snowflake, redshift, postgresql, mysql",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,SuperPe,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-superpe-4370617485,"python, sql, airflow, aws, azure, gcp",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
AWS -Data Engineer,Fractal,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/aws-data-engineer-at-fractal-3600688559,"python, java, spark, pyspark, athena, databricks, kafka, snowflake, redshift, dynamodb, aws, s3, emr, glue, lambda",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,InterEx Group,India,https://in.linkedin.com/jobs/view/data-engineer-at-interex-group-4361837397,"sql, databricks, synapse, azure",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
"Software Engineer II, Google Ads",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-ii-google-ads-at-google-4370488058,"python, java, javascript",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Ramboll,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-ramboll-4370960192,sql,2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Scoutit,India,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4370253496,sql,2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Cognizant,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-cognizant-4370406858,,2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
AWS Data Engineer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/aws-data-engineer-at-infosys-4357594249,aws,2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-people-prime-worldwide-4370610541,"python, sql, azure, ci/cd",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
"Data Tester - SQL, Python and API",Keyrus,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-tester-sql-python-and-api-at-keyrus-4370564527,"python, sql, jenkins, ci/cd",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,Aryaka,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-aryaka-4275943035,"python, java, shell, mysql",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
"Data Engineer for Private Bank One Data Platform on Google Cloud, AVP",Deutsche Bank,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-for-private-bank-one-data-platform-on-google-cloud-avp-at-deutsche-bank-4370868731,"sql, shell, spark, dataproc, docker, ci/cd",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-honeywell-4370550281,python,2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Cloud Data Engineer (AWS-Big Data),InfoCepts,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/cloud-data-engineer-aws-big-data-at-infocepts-4370947758,"python, scala, sql, shell, spark, hadoop, hive, athena, kafka, redshift, aws, s3, emr, glue, lambda",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Bigdata Developer,Cognizant,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/bigdata-developer-at-cognizant-4360441633,"scala, sql, spark, hadoop, hive, airflow",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer I,Swiss Re,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-i-at-swiss-re-4370412999,"python, sql, pyspark, azure, ci/cd",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Fraoula,India,https://in.linkedin.com/jobs/view/data-analyst-at-fraoula-4370622105,,2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Hitachi Energy,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/data-analyst-at-hitachi-energy-4370297797,"sql, azure",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,Scoutit,India,https://in.linkedin.com/jobs/view/data-engineer-at-scoutit-4370656234,"scala, spark, hadoop, hive",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Software Engineer I,Precisely,India,https://in.linkedin.com/jobs/view/software-engineer-i-at-precisely-4364314165,"java, spark, aws, azure, gcp, kubernetes",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst (Retail),Nesto Technologies,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-retail-at-nesto-technologies-4370644164,"python, sql, pyspark, hive, postgresql, mysql",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,Acuity Analytics,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-acuity-analytics-4370619737,,2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Python DATA Engineer (Spark+SQL),"VMC Soft Technologies, Inc","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-data-engineer-spark%2Bsql-at-vmc-soft-technologies-inc-4363013004,"python, sql, spark, pyspark, hive, delta lake, iceberg, airflow, aws, azure, gcp",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Analyst,Pinnacle Infotech,"Madurai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-pinnacle-infotech-4363042768,"python, sql, airflow, postgresql, mysql",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
Business Intelligence Developer,POST A RESUME,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/business-intelligence-developer-at-post-a-resume-4361759134,"sql, synapse, azure, ci/cd",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
software engineer 2 BE,Uber,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-2-be-at-uber-4370547745,"java, go",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Junior Data Analyst,thinkMind Tech,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/junior-data-analyst-at-thinkmind-tech-4363010234,"python, java, sql",2026-02-09,2026-02-10T10:35:30.162Z,entry/intern,true
Data Engineer,Egis,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-egis-4370251344,"python, pyspark, azure",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
Data Engineer,MIC Global,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-mic-global-4370563866,"python, sql, azure",2026-02-09,2026-02-10T10:35:30.162Z,mid/unspecified,false
AI Ops Engineer,Experian,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ops-engineer-at-experian-4364093204,"python, sql, aws, azure, gcp, docker, jenkins, ci/cd",2026-02-10,2026-02-10T10:35:30.162Z,mid/unspecified,false
